"STUDY_ID","REVIEWERS","INCLUDE","AU","TI","SO","PY","DI","AB","screen_status"
"123","Elise","not vetted","Thomas, GH; Hartmann, K; Jetz, W; Joy, JB; Mimoto, A; Mooers, AO","PASTIS: an R package to facilitate phylogenetic assembly with soft taxonomic inferences","METHODS IN ECOLOGY AND EVOLUTION","2013","10.1111/2041-210X.12117","1. Phylogenetic trees that include all member lineages are necessary for many questions in macroevolution, biogeography and conservation. Currently, producing such trees when genetic data or phenotypic characters for some tips are missing generally involves assigning missing species to the root of their most exclusive clade, essentially grafting them onto existing and static topologies as polytomies. 2. We describe an R package, PASTIS', that enables a two-stage Bayesian method using MrBayes version 3.2 (or higher) to incorporate lineages lacking genetic data at the tree inference stage. The inputs include a consensus topology, a set of taxonomic statements (e.g. placing species in genera and aligning some genera with each other or placing subspecies within species) and user-defined priors on edge lengths and topologies. PASTIS produces input files for execution in MrBayes that will produce a posterior distribution of complete ultrametric trees that captures uncertainty under a homogeneous birth-death prior model of diversification and placement constraints. If the age distribution of a focal node is known (e.g. from fossils), the ultrametric tree distribution can be converted to a set of dated trees. We also provide functions to visualize the placement of missing taxa in the posterior distribution. 3. The PASTIS approach is not limited to the level of species and could equally be applied to higher or lower levels of organization (e.g. accounting for all recognized subspecies or populations within a species) given an appropriate choice of priors on branching times.","NO"
"124","Elise","not vetted","Link, WA","A cautionary note on the discrete uniform prior for the binomial N","ECOLOGY","2013","10.1890/13-0176.1","Analysis of wildlife data frequently involves estimation of population size N based on binomial counts. Bayesian analysts often use a constant prior for N, the choice motivated by a desire to avoid an informative prior, and to let the data speak for themselves. For instance, data augmentation methods for model M-h posit a super-population of size M >> N with individual detection probabilities z(i)p(i), with p(i) sampled from a parametric family of interest, and z(i) an indicator of membership in the target population; thus, N = Sigma(i)z(i). Treating z(i) as independent Bernoulli trials with success rate and assigning a uniform prior to is equivalent to assigning a discrete uniform prior for N on {0,1,2, ... , M}; by setting M large enough, analysts approximate the improper constant prior on the positive integers. In this paper, I demonstrate some paradoxical and plainly unacceptable features of the constant prior. These defects are not shared by the scale prior, which has been recommended for its good performance as measured by frequentist criteria. I show how the scale prior can be approximated in program OpenBUGS, including data augmentation applications for individual covariates.","YES"
"125","Elise","not vetted","Penone, C; Le Viol, I; Pellissier, V; Julien, JF; Bas, Y; Kerbiriou, C","Use of Large-Scale Acoustic Monitoring to Assess Anthropogenic Pressures on Orthoptera Communities","CONSERVATION BIOLOGY","2013","10.1111/cobi.12083","Biodiversity monitoring at large spatial and temporal scales is greatly needed in the context of global changes. Although insects are a species-rich group and are important for ecosystem functioning, they have been largely neglected in conservation studies and policies, mainly due to technical and methodological constraints. Sound detection, a nondestructive method, is easily applied within a citizen-science framework and could be an interesting solution for insect monitoring. However, it has not yet been tested at a large scale. We assessed the value of a citizen-science program in which Orthoptera species (Tettigoniidae) were monitored acoustically along roads. We used Bayesian model-averaging analyses to test whether we could detect widely known patterns of anthropogenic effects on insects, such as the negative effects of urbanization or intensive agriculture on Orthoptera populations and communities. We also examined site-abundance correlations between years and estimated the biases in species detection to evaluate and improve the protocol. Urbanization and intensive agricultural landscapes negatively affected Orthoptera species richness, diversity, and abundance. This finding is consistent with results of previous studies of Orthoptera, vertebrates, carabids, and butterflies. The average mass of communities decreased as urbanization increased. The dispersal ability of communities increased as the percentage of agricultural land and, to a lesser extent, urban area increased. Despite changes in abundances over time, we found significant correlations between yearly abundances. We identified biases linked to the protocol (e.g., car speed or temperature) that can be accounted for ease in analyses. We argue that acoustic monitoring of Orthoptera along roads offers several advantages for assessing Orthoptera biodiversity at large spatial and temporal extents, particularly in a citizen science framework. El Uso de Monitoreos Acusticos a Gran Escala para Estudiar las Presiones Antropogenicas sobre Comunidades de Orthoptera Resumen El monitoreo de la biodiversidad a grandes escalas espaciales y temporales es una necesidad en el contexto de cambios globales. Aunque los insectos son un grupo rico en especies y son importantes para el funcionamiento de los ecosistemas, han sido ignorados en estudios y politicas de conservacion, principalmente debido a restricciones tecnicas y metodologicas. La deteccion sonora, un metodo no destructivo, se aplica facilmente dentro de un marco de ciencia ciudadana y podria ser una resolucion interesante para el monitoreo de insectos, sin embargo no se ha probado a gran escala. Estudiamos el valor de un programa de ciencia ciudadana en el que especies de Orthoptera (Tettigoniidae) fueron monitoreadas acusticamente a lo largo de las carreteras. Usamos analisis bayesianos de promedio de modelos para probar si podiamos detectar patrones ampliamente conocidos de efectos antropogenicos sobre insectos, como los efectos negativos de la urbanizacion o de la agricultura intensiva sobre poblaciones y comunidades de Orthoptera. Tambien examinamos correlaciones sitio- abundancia entre anos y estimamos los sesgos en la deteccion de especies para evaluar y mejorar el protocolo. La urbanizacion y los paisajes de agricultura intensiva afectaron negativamente a la riqueza de especies de Orthoptera asi como a la diversidad y la abundancia. Este hallazgo va de acuerdo con los resultados de estudios previos sobre Orthoptera, vertebrados, carabidos y mariposas. La masa promedio de comunidades disminuyo conforme incremento la urbanizacion. La habilidad de dispersion de las comunidades incremento conforme incrementaba el porcentaje de tierra agricola, y en una menor cantidad, el area urbana. A pesar de los cambios en abundancias a lo largo del tiempo encontramos correlaciones significativas entre abundancias anuales. Identificamos los sesgos vinculados con el protocolo (p.ej.: velocidad del auto o temperatura) que pueden senalarse facilmente en los analisis. Proponemos que el monitoreo acustico de Orthoptera a lo largo de las carreteras ofrece varias ventajas para estudiar la biodiversidad en extensiones grandes tanto espaciales como temporales, particularmente en un marco de ciencia ciudadana.","NO"
"126","Elise","not vetted","Fieberg, J; Alexander, M; Tse, S; St Clair, K","Abundance estimation with sightability data: a Bayesian data augmentation approach","METHODS IN ECOLOGY AND EVOLUTION","2013","10.1111/2041-210X.12078","1. Steinhorst & Samuel (Biometrics 1989; 45, 415-425) showed how logistic regression models, fit to detection data collected from radiocollared animals, can be used to estimate and adjust for visibility bias in wildlife population surveys. Population abundance is estimated using a modified Horvitz-Thompson (mHT) estimator in which counts of observed animal groups are divided by their estimated inclusion probabilities (determined by plot-level sampling probabilities and detection probabilities estimated from radiocollared individuals). The sampling distribution of the mHT estimator is typically right-skewed, and statistical inference relies on asymptotic theory that may not be appropriate with small samples. 2. We develop an alternative, Bayesian model-based approach which we apply to data collected from moose (Alces alces) in Minnesota. We model detection probabilities as a function of visual obstruction, informed by data from 124 sightability trials involving radiocollared moose. These sightability data, along with counts of moose from a stratified random sample of aerial plots, are used to estimate moose abundance in 2006 and 2007 and the log rate of change between the 2 years. 3. Unlike traditional design-based estimators, model-based estimators require assumptions regarding stratum-specific distributions of the detection covariates, the number of animal groups per plot and the number of animals per animal group. We demonstrate numerical and graphical methods for assessing the validity of these assumptions and compare two different models for the distribution of the number of animal groups per plot, a beta-binomial model and a logistic-t model. 4. Estimates of the log rate of change (95% CI) between 2006 and 2007 were -0<bold>21</bold> (-0<bold>53</bold>, 0<bold>12</bold>), -0<bold>24</bold> (-0<bold>64</bold>, 0<bold>16</bold>), and -0<bold>25</bold> (-0<bold>64</bold>, 0<bold>15</bold>) for the beta-binomial model, logistic-t model and mHT estimator, respectively. Plots of posterior-predictive distributions and goodness-of-fit measures both suggest the beta-binomial model provides a better fit to the data. 5. The Bayesian framework offers many inferential advantages, including the ability to incorporate prior information and perform exact inference with small samples. More importantly, the model-based approach provides additional flexibility when designing and analysing multi-year surveys (e.g. rotational sampling designs could be used to focus sampling effort in important areas, and random effects could be used to share information across years).","NO"
"127","Elise","not vetted","Kelly, RA; Jakeman, AJ; Barreteau, O; Borsuk, ME; ElSawah, S; Hamilton, SH; Henriksen, HJ; Kuikka, S; Maier, HR; Rizzoli, AE; Delden, H; Voinov, AA","Selecting among five common modelling approaches for integrated environmental assessment and management","ENVIRONMENTAL MODELLING & SOFTWARE","2013","10.1016/j.envsoft.2013.05.005","The design and implementation of effective environmental policies need to be informed by a holistic understanding of the system processes (biophysical, social and economic), their complex interactions, and how they respond to various changes. Models, integrating different system processes into a unified framework, are seen as useful tools to help analyse alternatives with stakeholders, assess their outcomes, and communicate results in a transparent way. This paper reviews five common approaches or model types that have the capacity to integrate knowledge by developing models that can accommodate multiple issues, values, scales and uncertainty considerations, as well as facilitate stakeholder engagement. The approaches considered are: systems dynamics, Bayesian networks, coupled component models, agent-based models and knowledge-based models (also referred to as expert systems). We start by discussing several considerations in model development, such as the purpose of model building, the availability of qualitative versus quantitative data for model specification, the level of spatio-temporal detail required, and treatment of uncertainty. These considerations and a review of applications are then used to develop a framework that aims to assist modellers and model users in the choice of an appropriate modelling approach for their integrated assessment applications and that enables more effective learning in interdisciplinary settings. (c) 2013 Elsevier Ltd. All rights reserved.","NO"
"128","Elise","not vetted","Nash, D; Waters, D; Buldu, A; Wu, YM; Lin, YP; Yang, WQ; Song, YZ; Shu, J; Qin, W; Hannah, M","Using a conceptual Bayesian network to investigate environmental management of vegetable production in the Lake Taihu region of China","ENVIRONMENTAL MODELLING & SOFTWARE","2013","10.1016/j.envsoft.2013.03.008","Vegetable farms are one of many nitrogen (N) sources adversely affecting Lake Taihu in eastern China. Given the lack of quantitative ""cause and effect"" relationships and data relating to these systems, we developed a conceptual Bayesian network to investigate and demonstrate causal relationships and the effects of different mitigation strategies on N exports from vegetable farms in the Lake Taihu region. Structurally, the network comprised one primary transport factor, one primary source factor and three post-mobilisation strategies, and three output factors. In general the network suggests that N exports are more sensitive to transport factors (i.e. runoff volumes) than source factors (i.e. fertiliser application rates) although the cumulative effects of excessive fertiliser were not considered. Post-mobilisation mitigations such as wetlands and ecoditches appear to be particularly effective in decreasing N exports however their implementation on a regional scale may be limited by land availability. While optimising N inputs would be prudent, the network suggests that better irrigation practice, including improved irrigation scheduling, using less imported water and optimising rainfall utilisation would be more effective in achieving environmental goals than simply limiting N supply. (C) 2013 Elsevier Ltd. All rights reserved.","NO"
"129","Elise","not vetted","Joseph, JF; Guillaume, JHA","Using a parallelized MCMC algorithm in R to identify appropriate likelihood functions for SWAT","ENVIRONMENTAL MODELLING & SOFTWARE","2013","10.1016/j.envsoft.2013.03.012","Markov Chain Monte Carlo (MCMC) algorithms allow the analysis of parameter uncertainty. This analysis can inform the choice of appropriate likelihood functions, thereby advancing hydrologic modeling with improved parameter and quantity estimates and more reliable assessment of uncertainty. For long-running models, the Differential Evolution Adaptive Metropolis (DREAM) algorithm offers spectacular reductions in time required for MCMC analysis. This is partly due to multiple parameter sets being evaluated simultaneously. The ability to use this feature is hindered in models that have a large number of input files, such as SWAT. A conceptually simple, robust method for applying DREAM to SWAT in R is provided. The general approach is transferrable to any executable that reads input files. We provide this approach to reduce barriers to the use of MCMC algorithms and to promote the development of appropriate likelihood functions. (C) 2013 Elsevier Ltd. All rights reserved.","NO"
"130","Elise","not vetted","Spence, PL; Jordan, SJ","Effects of nitrogen inputs on freshwater wetland ecosystem services - A Bayesian network analysis","JOURNAL OF ENVIRONMENTAL MANAGEMENT","2013","10.1016/j.jenvman.2013.03.029","Increased nitrogen (N) inputs to freshwater wetlands potentially affect the interaction between nitrous oxide (N2O) emissions and outflow water quality. The purpose of this study is to evaluate the influence of N inputs on N removal, as well as the interaction between N2O emissions and outflow water quality, using a Bayesian Belief Network (BBN). The BBN was developed by linking wetland classification, biogeochemical processes, and environmental factors. Empirical data for 34 freshwater wetlands were gathered from a comprehensive review of published peer-reviewed and gray literature. The BEN was implemented using 30 wetlands (88% of the case file) and evaluated using a single test file containing 4 wetlands (12% of the case file). The BBN implies it is not average annual total N load entering the wetland, but the N removal efficiency that influences the interactions between N2O emissions and outflow water quality. Even though the network has a very low error rate indicating a high predictive accuracy, additional testing and larger training and testing datasets would increase confidence in the model's ability to provide robust predictions and to reduce the uncertainty resulting from an incomplete dataset and knowledge gaps regarding the interactions between N2O emissions and outflow water quality. (C) 2013 Elsevier Ltd. All rights reserved.","NO"
"131","Elise","not vetted","Haapasaari, P; Mantyniemi, S; Kuikka, S","Involving Stakeholders in Building Integrated Fisheries Models Using Bayesian Methods","ENVIRONMENTAL MANAGEMENT","2013","10.1007/s00267-013-0041-9","A participatory Bayesian approach was used to investigate how the views of stakeholders could be utilized to develop models to help understand the Central Baltic herring fishery. In task one, we applied the Bayesian belief network methodology to elicit the causal assumptions of six stakeholders on factors that influence natural mortality, growth, and egg survival of the herring stock in probabilistic terms. We also integrated the expressed views into a meta-model using the Bayesian model averaging (BMA) method. In task two, we used influence diagrams to study qualitatively how the stakeholders frame the management problem of the herring fishery and elucidate what kind of causalities the different views involve. The paper combines these two tasks to assess the suitability of the methodological choices to participatory modeling in terms of both a modeling tool and participation mode. The paper also assesses the potential of the study to contribute to the development of participatory modeling practices. It is concluded that the subjective perspective to knowledge, that is fundamental in Bayesian theory, suits participatory modeling better than a positivist paradigm that seeks the objective truth. The methodology provides a flexible tool that can be adapted to different kinds of needs and challenges of participatory modeling. The ability of the approach to deal with small data sets makes it cost-effective in participatory contexts. However, the BMA methodology used in modeling the biological uncertainties is so complex that it needs further development before it can be introduced to wider use in participatory contexts.","NO"
"132","Elise","not vetted","Johnson, DS; Conn, PB; Hooten, MB; Ray, JC; Pond, BA","Spatial occupancy models for large data sets","ECOLOGY","2013","10.1890/12-0564.1","Since its development, occupancy modeling has become a popular and useful tool for ecologists wishing to learn about the dynamics of species occurrence over time and space. Such models require presence-absence data to be collected at spatially indexed survey units. However, only recently have researchers recognized the need to correct for spatially induced overdisperison by explicitly accounting for spatial autocorrelation in occupancy probability. Previous efforts to incorporate such autocorrelation have largely focused on logit-normal formulations for occupancy, with spatial autocorrelation induced by a random effect within a hierarchical modeling framework. Although useful, computational time generally limits such an approach to relatively small data sets, and there are often problems with algorithm instability, yielding unsatisfactory results. Further, recent research has revealed a hidden form of multicollinearity in such applications, which may lead to parameter bias if not explicitly addressed. Combining several techniques, we present a unifying hierarchical spatial occupancy model specification that is particularly effective over large spatial extents. This approach employs a probit mixture framework for occupancy and can easily accommodate a reduced-dimensional spatial process to resolve issues with multicollinearity and spatial confounding while improving algorithm convergence. Using open-source software, we demonstrate this new model specification using a case study involving occupancy of caribou (Rangifer tarandus) over a set of 1080 survey units spanning a large contiguous region ( 108 000 km(2)) in northern Ontario, Canada. Overall, the combination of a more efficient specification and open-source software allows for a facile and stable implementation of spatial occupancy models for large data sets.","NO"
"133","Elise","not vetted","Scholten, L; Scheidegger, A; Reichert, P; Maurer, M","Combining expert knowledge and local data for improved service life modeling of water supply networks","ENVIRONMENTAL MODELLING & SOFTWARE","2013","10.1016/j.envsoft.2012.11.013","The presented approach aims to overcome the scarce data problem in service life modeling of water networks by combining subjective expert knowledge and local replacement data. A procedure to elicit imprecise quantile estimates of survival functions from experts, considering common cognitive biases, was developed and applied. The individual expert priors of the parameters of the service life distribution are obtained by regression over the stated distribution quantiles and aggregated into a single prior distribution. Furthermore, a likelihood function for the commonly encountered censored and truncated pipe replacement data is formulated. The suitability of the suggested Bayesian approach based on elicitation data from eight experts and real network data is demonstrated. Robust parameter estimates could be derived in data situations where frequentist maximum likelihood estimation is unsatisfactory, and to show how the consideration of imprecision and in-between-variance of experts improves posterior inference. (C) 2012 Elsevier Ltd. All rights reserved.","NO"
"134","Elise","not vetted","Tobler, MW; Carrillo-Percastegui, SE; Zuniga Hartley, A; Powell, GVN","High jaguar densities and large population sizes in the core habitat of the southwestern Amazon","BIOLOGICAL CONSERVATION","2013","10.1016/j.biocon.2012.12.012","Over 80% of the currently occupied range of the jaguar (Panthera onca) lies in the Amazon. However, few density estimates exist for this habitat. Between 2005 and 2010 we carried out six camera trap surveys at three different sites in the department of Madre de Dios in the Peruvian Amazon. We analyzed our data using a Bayesian spatially explicit capture recapture model (SECR) with sex covariates to account for differences in home range size and detection probabilities of male and female jaguars. As several of our camera grids where too small for reliable density estimates, we used estimates for the sigma parameter from the largest camera grid to correct for the bias. Density estimates for our surveys were similar with an average density of 4.4 +/- 0.7 jaguar 100 km(-2). Both home range size and encounter rates varied significantly between sexes with males having a larger home range and higher encounter rate than females. Our estimated sex ratio was 1:1.5 compared to an observed ratio of 1.9:1. Not accounting for sex would have resulted in an underestimation of the true density. The densities found in this study are among the highest documented and show that the Amazon is indeed a core habitat for the jaguar. We estimate that three jaguar conservation units in our study region (areas defined by experts as having a high conservation priority) could harbor as many as 6000 jaguars (Cl: 4278-8142). (C) 2012 Elsevier Ltd. All rights reserved.","NO"
"135","Elise","not vetted","Strebel, K; Espinosa, G; Giralt, F; Kindler, A; Rallo, R; Richter, M; Schlink, U","Modeling airborne benzene in space and time with self-organizing maps and Bayesian techniques","ENVIRONMENTAL MODELLING & SOFTWARE","2013","10.1016/j.envsoft.2012.12.001","An assessment of personal exposure to airborne chemical contaminants demands for individual-specific registration of their concentrations, a procedure which is expensive and difficult to implement. An alternative approach is the calculation of a spatial concentration field in high resolution where exposure can be assigned to individuals according to their dwelling locations. Self-organizing maps (SUM) and Bayesian Hierarchical Models (BHM) were applied to model the spatial concentrations of benzene, an airborne volatile organic compound (VOC), in the urban area of Leipzig, Germany. Different performance measures (mean absolute error, coefficient of determination, etc.) were adopted to evaluate and compare the performance of SUM and BHM. Relevant input factors related to VOC dispersion were stepwise selected with the BHM. Both modeling techniques identified seasonal as well as spatial variations of benzene, with the highest concentrations occurring in winter and the lowest in summer. SUM and BHM showed that high concentrations of benzene are correlated with low distances to the city center and with the major traffic routes. Both SUM and BHM were suitable to model the spatial distribution of benzene concentrations, with the latter yielding a better overall performance using input factors selected by BHM. Beyond this specific application the suggested approaches have potential for statistical spatiotemporal modeling of other environmental parameters, an issue that is currently under rapid development. (c) 2012 Elsevier Ltd. All rights reserved.","NO"
"136","Elise","not vetted","Molto, Q; Rossi, V; Blanc, L","Error propagation in biomass estimation in tropical forests","METHODS IN ECOLOGY AND EVOLUTION","2013","10.1111/j.2041-210x.2012.00266.x","Reliable above-ground biomass (AGB) estimates are required for studies of carbon fluxes and stocks. However, there is a huge lack of knowledge concerning the precision of AGB estimates and the sources of this uncertainty. At the tree level, the tree height is predicted using the tree diameter at breast height (DBH) and a height sub-model. The wood-specific gravity (WSG) is predicted with taxonomic information and a WSG sub-model. The tree mass is predicted using the predicted height, the predicted WSG and the biomass sub-model. Our models were inferred with Bayesian methods and the uncertainty propagated with a Monte Carlo scheme. The uncertainties in the predictions of tree height, tree WSG and tree mass were neglected sequentially to quantify their contributions to the uncertainty in AGB. The study was conducted in French Guiana where long-term research on forest ecosystems provided an outstanding data collection on tree height, tree dynamics, tree mass and species WSG. We found that the uncertainty in the AGB estimates was found to derive primarily from the biomass sub-model. The models used to predict the tree heights and WSG contributed negligible uncertainty to the final estimate. Considering our results, a poor knowledge of WSG and the heightdiameter relationship does not increase the uncertainty in AGB estimates. However, it could lead to bias. Therefore, models and databases should be used with care. This study provides a methodological framework that can be broadly used by foresters and plant ecologist. It provides the accurate confidence intervals associated with forest AGB estimates made from inventory data. When estimating region-scale AGB values (through spatial interpolation, spatial modelling or satellite signal treatment), the uncertainty of the forest AGB value in the reference forest plots has to be taken in account. We believe that in the light of the Reducing Emissions from Deforestation and Degradation debate, our method is a crucial step in monitoring carbon stocks and their spatio-temporal evolution.","MAYBE"
"137","Elise","not vetted","Hill, DJ","Automated Bayesian quality control of streaming rain gauge data","ENVIRONMENTAL MODELLING & SOFTWARE","2013","10.1016/j.envsoft.2012.10.006","Radar-rainfall data are being used in an increasing number of real-time applications because of their wide spatial and temporal coverage. Because of uncertainties in radar measurements and the relationship between radar measurements and rainfall on the ground, radar-rainfall data are often combined with rain gauge data to improve their accuracy. However, while rain gauges can provide accurate estimates of rainfall, their data are sometimes corrupted with errors caused by the environment in which the gauges are deployed. This study develops a real-time method for identifying measurement errors in rain gauge data streams. This method employs a dynamic Bayesian network (DBN) model of the rain gauge data stream to sequentially forecast the next rain gauge measurement from both the rain gauge and weather radar data streams and a decision rule-based classifier to identify data errors. Because of the uncertainty in the relationship between the radar and rainfall measurements, this method uses a statistical learning method (expectation maximization) to determine the best parameters for this relationship, given an adaptively sized moving window of previous measurements. The performance of the error detector developed in this study is demonstrated using a precipitation sensor network composed of five telemetered tipping bucket rain gauges and a WSR-88D weather radar. Through an analysis using synthetic errors, the false alarm rate and false negative rate were calculated to be 0.90% and 1.5%, respectively. (C) 2012 Elsevier Ltd. All rights reserved.","NO"
"138","Elise","not vetted","Ives, MC; Scandol, JP","BIOMAS: A bio-economic modelling and assessment system for fisheries management strategy evaluation","ECOLOGICAL MODELLING","2013","10.1016/j.ecolmodel.2012.07.006","The primary goal of data collection on exploited fish stocks is to enable the development of credible stock assessments. Ideally, enough information will be collected to enable management strategy evaluations on the stock, providing guidance on future management decisions. In many fisheries management agencies, however, the ability to rapidly and cost-effectively build and run models to evaluate management strategies is as much an impediment to their development as the lack of data. The BIOMAS software provides users with the ability to rapidly develop single or multi-species, length-based population dynamics models for the exploration of alternative management strategies in a Bayesian-based framework. The system is theoretically capable of incorporating any number of species, fishing fleets and spatial compartments in a single model. Further complexity is provided with the ability to implement management and environmental effects on stocks as well as the tracking of economic costs and revenue from fishing activity. However, in practice model complexity will be limited by the needs of the modelling project, by the availability of data and by the modelling project timeline. By incorporating Bayesian methods, including prior probability distributions, the BIOMAS system enables users to explore the uncertainty surrounding a limited number of parameter values and to incorporate this uncertainty into the model results. Sensitivity analyses can be run against virtually all model parameters providing insight into the key drivers for the model and likely candidates for Bayesian priors. A number of management indicators are provided for all stocks and fleets in the model including stock depletion, catch weights, age- and length-frequencies, discard mortality estimates and fleet profits - each with Bayesian-based confidence intervals. Such indicators become the primary means of comparing the effectiveness of alternative management strategies when using the system forecasting capabilities. Through the inclusion of stochastic processes, such as process error and environmental and pricing fluctuations, each management strategy can also be evaluated for its robustness to such uncertainty. The ability to reflect more of our uncertainty in modelled outcomes, which tools such as BIOMAS provide, can unfortunately come at the expense of clarity in the outcomes. This is only because these models better encompass our lack of knowledge about fishery systems. Fortunately, such modelling tools can also provide us with a clearer understanding of the main sources of this uncertainty. Furthermore, the unique design of the BIOMAS system allows users to undertake 'research strategy evaluations' in which the costs and benefits of different forms of research can be compared, allowing managers and research leaders to see more clearly the benefits of targeted research to reduce these uncertainties. Crown Copyright (C) 2012 Published by Elsevier B.V. All rights reserved.","NO"
"139","Elise","not vetted","Chen, GK; Kery, M; Plattner, M; Ma, KP; Gardner, B","Imperfect detection is the rule rather than the exception in plant distribution studies","JOURNAL OF ECOLOGY","2013","10.1111/1365-2745.12021","1. Imperfect detection can seriously bias conventional estimators of species distributions and species richness. Plant traits, survey-specific conditions and site-specific characteristics may influence plant detection probability. However, the generality of the problems induced by imperfect detection in plants and the magnitude of this challenge for plant distribution studies are currently unknown. 2. We address this question based on data from the Swiss Biodiversity Monitoring, in which vascular plants are surveyed twice in the same year along a 2.5-km transect in 451 1-km(2) quadrats. Overall, 1700 species were recorded. We chose a random sample of 100 species from the 1700 species to determine general detection levels. To examine the relationship of covariates on detection, we chose a stratified random sample of 100 species from 886 species that were detected in at least 18 locations, with 25 each from four life-forms (LF): grass, forb, shrub and tree. Using a Bayesian multispecies site-occupancy model, we estimated occurrence and detection probability of these species and their relation to covariates. 3. Based on the random sample of 100 species, detection probability during the first survey ranged 0.03-0.99 (median 0.74) and during the second survey, 0.03-0.99 (median 0.82). Based on the stratified random sample of 100 species, detection probability during the first survey ranged 0.02-0.99 (median 0.87) and during the second survey, 0.01-1 (median 0.89). Detection probability differed slightly among the four LFs. In 60 species, survey season or elevation had significant effects on detection. We illustrated detection probability maps for Switzerland based on the modelled relationships with environmental covariates. 4. Synthesis. Our findings suggest that even in a standardized monitoring program, imperfect detection of plants may be common. With the absence of a correction for detection errors, maps in plant distribution studies will be confounded with spatial patterns in detection probability. We presume that these problems will be much more widespread in the data sets that are used for conventional plant species distribution modelling. Imperfect detection should be estimated, even in distribution studies of plants and other sessile organisms, to better control detection errors that may compromise the results of species distribution studies.","MAYBE"
"140","Elise","not vetted","Lawrence, JD; Gramacy, RB; Thomas, L; Buckland, ST","The importance of prior choice in model selection: a density dependence example","METHODS IN ECOLOGY AND EVOLUTION","2013","10.1111/j.2041-210X.2012.00255.x","It is important to discern the magnitude of density dependence a species exhibits, as well as the time lag over which it operates. Knowledge of a species' likely response to natural as well as synthetic shocks will assist in effective species management. Statistically this is a challenging problem which does not usually admit closed-form mathematical analysis. Consequently, many people have used Bayesian methods to fit state space models of density dependence to many different species, of which we take eleven species of North American duck as our motivating examples. A Bayesian analysis requires a choice of model and parameter prior. The latter is difficult to do without inducing bias in model selection, and we attempt to address this problem. Our priors will be obtained by considering which parameter values are representative of features we expect to see in the data, and which would produce unnatural behaviour. To fit the models, we use a novel sequential Monte Carlo method (particle learning) not previously applied to ecological data sets. We show that existing analyses on the duck data may have been susceptible to a common problem in Bayesian model selection (Lindley's paradox), and suggest methods for prior selection which mitigate this issue. We also discover that although it is possible to detect the existence of density dependence, it is unrealistic to expect to determine the time lag over which it operates without a great deal of data, even if said data are simulated from the model. We demonstrate that prior choices motivated by the above considerations can lead to substantially increased predictive accuracy over surprisingly long time scales whether model selection is of primary concern or not. We conclude from our analysis of real-world data that there is little evidence of density dependence in many duck species, suggesting that such effects, if present, are likely to be small in magnitude.","YES"
"141","Elise","not vetted","Delean, S; Brook, BW; Bradshaw, CJA","Ecologically realistic estimates of maximum population growth using informed Bayesian priors","METHODS IN ECOLOGY AND EVOLUTION","2013","10.1111/j.2041-210x.2012.00252.x","Phenomenological density-feedback models estimate parameters such as carrying capacity (K) and maximum population growth rate (rm) from time series of abundances. However, most series represent fluctuations around K without extending to low abundances and are thus uninformative about rm. We used informative prior distributions of maximum population growth rate, p(rm), to estimate Bayesian posterior distributions in Ricker and theta-logistic models fitted to abundance series for 36 mammal species. We also used state-space models to account for observation errors. We used two data sets of population growth rates from different mammal species with associated allometry (body mass) and demography (age at first reproduction) data to predict rm prior distributions. We assessed patterns of differences in posterior means (rm) from models fitted with and without informative priors and used the deviance information criterion (DIC) to rank models for each species. Differences in posterior rm from models with informative vs. vague priors co-varied with the prior mean (rm) for Ricker models, but only posterior theta co-varied with prior rm in theta-logistic models. Informative-prior Ricker models ranked higher than (81% of species), or equivalent to (all species), those with vague priors, which decreased to 70% ranking higher for state-space models. Prior information also improved the precision of rm by 13-45% depending on model and prior. Posterior rm were highly sensitive to rm priors for theta-logistic models (halving and doubling prior mean gave -56% and 95% changes in rm, respectively) and less sensitive for Ricker models (-25% and 35% changes in rm). Our results show that fitting density-feedback models without prior information gives biologically unrealistic rm estimates in most cases, even from simple Ricker models. However, sensitivity analysis shows that high rm - theta correlation in theta-logistic models means the fit is largely determined by the prior, precluding the use of this model for most census data. Our findings are supported by applying models to simulated time series of abundance. Prior knowledge of species' life history can provide more ecologically realistic estimates (matching theoretical predictions) of regulatory dynamics even in the absence of detailed demographic data, thereby potentially improving predictions of extinction risk.","YES"
